"Artista","Trabajo","Fecha Publicación","Tipo"
"Bajo Mínimos","Como El Marmol","2011","-"
"Bajo Mínimos","La Semilla","2011","-"
"Bajo Mínimos","La Caja De Música Mágica","2008","-"
"Bajo Mínimos","Pandemia","2006","-"
"Bajo Mínimos","Insectos","2004","-"
"Bajo Sospecha","Cuando la verdad habla, todas las voces callan","-","-"
"Bajo Sospecha","Línea Infranqueable","-","-"
"Bajo Zero","Dreams & Dust","2011","-"
"Bajo Zero","Todo Lo Que Quiero","2009","-"
"bajozero che","atmosferaps","2012","-"
"baker 19710","19 de agosto","2012","-"
"baker 19710","moët entre tus piernas- bvkxr 19710 x yosef the soul","2012","-"
"baker 19710","paz","2012","-"
"Bako","Gastasuela","2005","-"
"Bako","A Ké Jugamos?","2004","-"
"Bako","Party Pachanga","2001","-"
"Bako","Show bako","2001","-"
"Bako & DJ Pache","Mi Guerra Interna","2013","-"
"Bako & DJ Pache","Al-Mukafih","2011","-"
"Bako & DJ Pache","De Vuelta a la Confianza","2010","-"
"Bako & DJ Pache","Donde Se Esconden Los Sueños","2009","-"
"bali or","gañanes on acid","-","-"
"balles mc","una mirada mas (adelanto)","2005","-"
"balles mc y dj irusta","tacticas de combate (adelanto)","2006","-"
"Bambú","lo que el viento se olvido","2009","-"
"Bambú","zaragoza ecuatorial","2008","-"
"Bambú","Tiempo De Colores","2009","-"
"Bambú","Palabras Sin Precio","2006","-"
"Banda Armada","Acero Y Cristal","2006","-"
"Banda Armada","promo","2001","-"
"BandaAncha","promo","-","-"
"BandaAncha","4 temas + Video-clip Tres razones","-","-"
"BandaAncha","Con Sinzensura-Calles","2007","-"
"BandaAncha (Con Sinzensura)","Calles","2007",
"Bandalona","una sopa en tu mosca","2012","-"
"Bandalona","La Llave","2007","-"
"Bandalona","en el punto de rima","2006","-"
"Bandalona","la pre-maketa","2004","-"
"Bandio","Aquí El Titulo","2006","-"
"Bangha Dealers","Street Game Mixtape","2008","-"
"bankito blanko","representando el barrio","1999","-"
"Bano","Prometeo","2009","-"
"Bano","El Hombre Que Cambiaba Pts X Flores","1998","-"
"baos","modus vivendi","2011","-"
"Barbass Sound","critical barbass mixtape","2011","-"
"Barbass Sound","increible","2009","-"
"Barbass Sound","dubmixtape","2007","-"
"Barbass Sound","gangstafari","-","-"
"Barbass Sound","Medianoche Riddim","2013","-"
"Barbass Sound","Barbass Players Vol.2","2012","mixtape"
"Barbass Sound","Barbass Players","2009","mixtape"
"Barbass Sound","Increible Mixtape Vol.6","2008","-"
"BARNA SUCIA","U KNOW IT ESSENTIALS","-","-"
"barnabasstar","live coop corp festival","2006","-"
"Barrabás","Sangraka","2014","-"
"Barrio Sound","Inéditos Vol.1","2010","-"
"barry mc","southeastside records 03180","2010","-"
"Barry.Mc Presenta","Costa Blanca","2005","-"
"barrymc","autobiographic","2014","-"
"Bassi","fuerte y libre","2008","-"
"Bassi","nunca llueve por encima de las nubes","2008","-"
"Bassi","andalucia express","2005","-"
"Bassi","Pangeniriko Liriko","2006","-"
"Baster","Ave Fénix","2014","-"
"Baster","El Mundo Cambia 2.0","2012","-"
"Baster","El Mundo Cambia / Las Bases Permanecen V 1.0","2007","-"
"bastian trama","aullidos","2014","-"
"bastos guerreros del ritmo","17'37 km x hora","2008","-"
"batallas de gallos","2005","-","-"
"Batto","oasis","2007","-"
"Batto","Gotham City","2010","-"
"Batto","Matar, Morir... E Ir Al Infierno","2008","-"
"Batto","Reflexiones Nocturnas","2007","-"
"batto y sir. dead rose","road to hollywood","2011","-"
"baturros","vacua possessio","2011","-"
"baykal","un trabajo mas","2010","-"
"baykal","privilegios","2008","-"
"baykal","dialogos","2007","-"
"Bazzel","ineditas","2009","-"
"Bazzel","La última nota","2006","-"
"bdtrash","b.d.t.r.a.s.h","2009","-"
"Be Timeless","Bitter","2012","-"
"Be Timeless","North Bitter","2012","-"
"Be Timeless","Sencillo Y En Silencio","2011","-"
"beat broz","10m2","2010","-"
"Beatbox","Artistas, ejercicios, vídeos...","-","-"
"Beath","Etherealstuff","2012","-"
"BeatKongs","Life Of A Kong","2014","-"
"BeatKraken","Octopus","2012","-"
"BeatKraken & Aguijón Sucio","Vademecvm","2013","-"
"BeatKraken, Kuze & Aguijón Sucio","Maxi 2014","2014","-"
"Beatkraken, Kuze, Egoliat & Aguijon Sucio","Sin Freno","2015","-"
"Behdos","Actitud","2012","mixtape"
"behdos y dj pablo","put your hands up (instrumentales)","2011","-"
"behdos y dj pablo","put your hands up!","2011","-"
"behdos y dj pablo trestercios","de mientras","2009","-"
"Bei - Ping Mafia","Bei - Ping Mafia","2009","-"
"bei-ping mafia","bei-ping mafia","2008","-"
"Bemol","tiempo para la filosofía, tiempo para la poesía","2006","-"
"Bemol","...me sobran","2005","-"
"Bemol","mi unica religion","-","-"
"Bemol","Aki te rimo, aki te mato","2007","-"
"Benny Soprano","Hombre O Máquina","2011","-"
"Benny Soprano","Murphy","2011","-"
"beroots bangers","prendelo (maxi single)","2012","-"
"beroots bangers","prealbum (black version)","2011","-"
"Beroots Bangers","Ghetto Blaster","2011","-"
"Beroots Bangers","Mainstream Is Dead","2011","-"
"Beroots Bangers","Pre - Álbum","2009","-"
"berre del buyete","luh pelegrinuh...","1995","-"
"berre del buyete","estamos joios","1993","-"
"bfunk","chocolat details - chocolat & sex vol. ii","2009","-"
"bfunk","chocolat details - volume 1 chocolat sex","2007","-"
"Bhensinz","Retrospectiva","2008","-"
"bhor d","d-zero","2006","-"
"Bidabol","Yo No Hago Hip Hop, Yo Soy Hip Hop","2009","-"
"Bien Sobre Mal","Reggae Riddims, Dj´s & Singers. Volumen 2","2004",
"Bien sobre Mal","Ganja Party","-","-"
"Bien Sobre Mal","Reggae Riddims DJ's & Singers) Vol.1","2003","-"
"Bien sobre Mal Vol. 2","ojos rojos","2004","-"
"Bien Sobre Mal Vol. 3","Reggae Riddims DJ's & Singers","-","-"
"bien sobre mal vol. i","2003","-","-"
"bien sobre mal vol. iii","2005","-","-"
"big empire","denia city 03700","2013","-"
"big empire","unchained","2013","-"
"big empire","the big 1","2009","-"
"big hozone","myspace tracks","2006","-"
"Big J","Corredores De Bloque - Southclassic Remixes Exclusivos ","2009","-"
"big mike gorila","la real academia de la mierda vol.1","2009","-"
"Big Sábanas","Tensión","2012","-"
"bihache crew","estandarte","2012","-"
"bilboriginal","toma i","1998","-"
"Billy El Niño & Don Dinero","CasasDeCal Music","2013","-"
"Billy El Niño & Don Dinero","Billy El Niño Y Don Dinero","2013","-"
"Billy El Niño & Don Dinero","Otra Historia De Coria","2000","single"
"Bilpack Hardproz","Terrier","2010","-"
"bisley beats","chili beats","2013","-"
"biss","versonalidad","2009","-"
"biwareman","ecos del pasado","2013","-"
"Biyi","La Máquina del Tiempo","1998","-"
"bjota","viento y madera","2009","-"
"BKC","El Sublevarte","2002","-"
"blac bro y elsabe","eclipse de soul","2008","-"
"black baudelaire","rumbo","2009","-"
"black baudelaire","cuidado","2005","-"
"black baudelaire","maqueta","2003","-"
"Black Bee","Ecua Nation","2012","-"
"Black Bee","Génesis","2006","-"
"Black Bee","Sueños En El Barrio","2003","-"
"Black Buda","El Es El BBoy","2006","-"
"Black Caesar","Dieciseis De Oro","2014","-"
"Black Caesar","Intellectual Ignorance","2014","-"
"Black Caesar","Calidad Antes Que Cantidad","2011","-"
"Black Caesar","Lasting","2009","-"
"Black Caesar","Estatus Don","2008","-"
"Black D","El Venerable De La Cumbre","2002","-"
"Black D","La Homilía","1998","-"
"black gorila gamberra squard","promo","2008","-"
"black jack y lex luthorz","y aquellas viejas cintas","2004","-"
"Blanco","It's Sugar Baby!","2012","-"
"blanco mc","el mundo en llamas","2011","-"
"Blazer","Fuerza De Choque","2006","-"
"BLK Produce! & Soborno","Skyline Durango","2013","-"
"BLK Produce! & Soborno","Maxi Series Vol?.?1","2009","-"
"blo","hoy puede ser","2009","-"
"blo","vivo klandestino","2005","-"
"block vita","vendran con cuentos","2011","-"
"Blocky","Primera Parte","2006","-"
"blody beats","beats de uso libre","2013","-"
"blody music","recopilación uso libre","2013","-"
"blood knife","beat pack vol. 1","2015","-"
"blood raining prods","blood raining beats vol.2","2008","-"
"blood raining prods","blood raining beats vol.3","2008","-"
"bls","1979","2010","-"
"bls","remix mortis","-","-"
"BLS","Poemas","2012","-"
"BLS","1979","2010","-"
"BLS & Pozo","Nocivo","2014","-"
"bls a.k.a rigor mortis","cosmovisiones (acapella version)","2013","-"
"bls aka rigor mortis","cosmovisiones","-","-"
"bls aka rigor mortis","poemas","-","-"
"Blue Vagos","Nubes","2013","-"
"Blue Vagos","Grandes Fracasos","2009","-"
"BM","RnB Line","2012","-"
"bm (bombony montana y big moon)","rnb line","2012","-"
"Bman & Zette","The Dancing Man On The Volcano","2014","-"
"bman zerowan","viaje a jamaica","2011","-"
"bman zerowan","a big thing","2008","-"
"Bman Zerowan","El canto del cisne","2013","-"
"bman zerowan y tosko","cartas al que no lo espera","2012","-"
"bobby peru","mde-click n'troducing","2010","-"
"boby pro","la real mierda","2009","-"
"bocas negras","bases","2011","-"
"Bodas","-","-","-"
"Boe focus","lasting","2009","-"
"bomba poesía","a tomar por el ritmo","1999","-"
"Bombony Montana & Lone","LB Finest","2013","-"
"Bon Korleony","rudeboys","2013","-"
"Bon Korleony","Hablo De Dancehall","2012","-"
"Bon Korleony","Nadie Mira Más Allá","2009","street album"
"Bon Korleony","El Korleony","2007","-"
"Bona & Ciclo","999","2006??2007???","-"
"Boo-Dooh","Mentes Afiladas","1994???1995","-"
"Boo-Dooh","Magia","2010","-"
"Boo-Dooh","Despierta","2008","-"
"Boogie K","Moonshine Sister","2011","-"
"bop 241","anonimvs bizarrvs","2013","-"
"bop 241","el bote de colon (re-edicion 2013)","2008","-"
"bop 241","algun dia","2006","-"
"bop 241","superheroes vs supervillanos","2003","-"
"bop 241","Érase una vez","1996","-"
"BORGA & DJ ZIL","TOCAMOS EL CIELO 2008","-","-"
"Borga & Dj Zil","Tocamos El Cielo","2008","-"
"Boricua Bomb Squad","Last Dayz","-","-"
"Boriz","Las Nuevas Y Trepidantes Aventuras De Boriz","2004???2005","-"
"borja","regreso al sulphuro","2012","-"
"borja","paz en tu cassette","2006","-"
"Bosk","Mente grave","2003","-"
"boyo","actitud","2012","-"
"braistorm","undersound","-","-"
"Brand Nubian","In God We Trust","1993","-"
"Breack","Mas Alla De Los Cinco Sentidos","2007","-"
"breack y hugo","proxperidad","2009","-"
"Breack y Nprod","En la red","2007","-"
"Break","Vocación","2005","-"
"brian","la vida de brian","2008","-"
"brick&top","paper planes","2011","-"
"brit y nazza","vivo entre ritmos","2012","-"
"Brode","Naturaleza","2007???2008","-"
"brokitah","colabos 1","2006-2011","-"
"Brosdol","2Mil11","2011","-"
"Brosdol","Desde Mi Habitación","2009","-"
"brother selected","area","2012","-"
"bruce banner","futuro imperfecto","2010","-"
"bso yo soy la juani","2006","-","-"
"buby","todo queda en família","2005","-"
"Bucaneroestilo","ReMixtape Vol 01","2008","-"
"Buda","Memorias de África","2002???2003","-"
"Buda & Nirban","La Doctrina Del Shock Vol.1","2013","-"
"buddah","volumen 1","2005","-"
"buenacrema","vol.1","2004-2011","-"
"Bufank","Ciego de sábado noche","1997","maqueta"
"Bufank","Bufank","1996","maqueta"
"Buff1","Pure","2007","-"
"buhoschicos","owlkids","2012","-"
"buhoschicos","alma","2011","-"
"buhoschicos","alma (black edition)","2011","-"
"buhoschicos","amor","2011","-"
"buhoschicos","destellos","2008","-"
"Bumpy Knuckles & Statik Selektah","Ambition","2012","-"
"bunkerlab","necessary tools","2006","-"
"bunkerlab","breaks","2005","-"
"bunkerlab","scratch material","2004","-"
"bxl boyz","in the place to be","2012","-"
"BZN Mc's","Al Contado","1990","-"
"BZN Mc's","Mensaje Latino","1990","-"
"BZN Mc's","Pleno Efecto","1990","-"
"C-Terrible & Pebens","Sabor Primitivo","2014","-"
"C-Terrible & Pebens","Socio Ejecutor (Unreleased)","2013","-"
"C-Terrible & Pebens","Speak Clear","2011","-"
"C-Terrible & Pebens","Terrible","2010","-"
"c. tangana","love's","2012","-"
"C. Tangana","Trouble + Presidente","2014","-"
"C. Tangana","Bésame Mucho","2012","-"
"C. Tangana","LO?E'S","2012","-"
"C. Tangana","Agorazein Presenta: C.Tangana","2011","-"
"C. Tangana","Agorazein","2008","-"
"C. Tangana","Ego","2007","-"
"C. Tangana","Elescrema","2006","-"
"C. Tangana","Madrid Files","2006","-"
"C. Tangana","Septiembre","2006","-"
"C. Terrible","Burundanga","2014","-"
"C. Terrible","Flow Max Level","2013","-"
"C. Terrible","Keep It Real Son!","2013","-"
"C. Terrible","Yo Lo Que Hago Es Rapsshitt ","2011","-"
"c.tangana y razz lacalle","bounce to it","2012","-"
"c65","produce torne y clasiko","2009","-"
"Cabal","Biomecánico","2013","-"
"Cabal","Carne Y Metal","2005","-"
"Cabal","Sangre y metal","2005","-"
"Cabal","Acabalypsis","2004","-"
"Cabal","Al Rojo Vivo","2002","-"
"Cabal","El Forjador De Pesadillas","2002","-"
"Caballeros del plan G","-","-","-"
"Cabeza Problema","Cabeza Problema EP","2014","-"
"Cabina de Voces","01.Primera emisión con SoulNation FM","-",
"Cabina de voces","02.Abram presenta su nuevo EP","-",
"Cabina de voces","03.Sereno desde el Prat","-",
"cadierno","elefantiasis","2007","-"
"Caelité","El Murmullo De La Calle","2003","-"
"caffareli -true shit","2013","-","-"
"Calagad 13","i can make you dance","2011","-"
"Calagad 13","golden era - ljda all stars (adelanto)","2006","-"
"Calagad 13","international battle of the year","2005-2006","-"
"Calagad 13","beatz to break .2 (bass13-fresh bits mixtape)","2004","-"
"Calagad 13","beatz to break with v.3 (dope breaks mixtape)","2004","-"
"Calagad 13","beatz to break with vol.4 (this is fresh)","2004","-"
"Calagad 13","future breaks session","2004","-"
"Calagad 13","beatz to br.1 (dope beats mixtape - fast rap)","2003","-"
"Calagad 13","ldja sammer 1986","2003","-"
"Calagad 13","Reino Fresco","2009","-"
"Calagad 13","Drum Love","2007","-"
"Calagad 13","LJDA All stars: Apocalipsis Now","2006","-"
"Calagad 13","The Breaks Burner","2006","-"
"Calagad 13","Golden Era","2005","-"
"Calagad 13","Street Beat","2004","-"
"Calagad 13","Street Bboy Beatz","2003","-"
"calagad 13 y campeon","the king of funk","2008","-"
"calavera","the fucking mixtape","2010","-"
"Calero","El Tiempo Es Oro","2014","-"
"Cálido Lehamo","Catorce","2014","-"
"Cálido Lehamo","Cálidah Armoníah Vol.3","2009","-"
"Cálido Lehamo","Cálidah Armoníah Vol.2","2008","-"
"Cálido Lehamo","Cálidah Armoníah ","2007","-"
"Cálido Lehamo","Rehtoh Del Sentir Juvenil","2007","-"
"Cálido Lehamo","Párate A Pensar, Toma Lo Que Tengo","2004","-"
"calido lehamo y niño maldito","me cago en tu padre","2011","-"
"Callejo","Actitud","2008","-"
"Callejo","Ciudad Drama","2007","-"
"Camp Lo","Uptown Saturday Night","1997","-"
"Campeón & Brainiac Beats","Asesinato A 33 R.P.M","2011","-"
"Campeon & Calagad 13","Mi Sopa","2015","-"
"Campeon & Calagad 13","La Odisea","2014","-"
"Campeon & Calagad 13","Mal Final","2013","-"
"Campeon & Calagad 13","Prende Fuego Y Corre","2013","-"
"Campeon & Calagad 13","The King Of Funk","2007","-"
"canciones positivas","no cerramos por vacaciones","2009","-"
"Canes","El Momento","2010","-"
"Canes","Budo","2008","-"
"Canes","Obligao","2007","-"
"canibal destroy","canibal destroy","2007","-"
"Cantinela Fina","Después Del Silencio","2003","-"
"canto cardiaco crew","destruccion maxima","2012","-"
"canto cardiaco crew","palabras y palabrejas","-","-"
"cañaman","dub, weed & fyah","2006","-"
"cañaman","fronteras","2004","-"
"cañaman","cañaman","1997","-"
"caos urbano ","caos urbano","2005","-"
"Capaz","Último Cigarro","2010","LP"
"Capaz","Cava Dos Tumbas","2010","-"
"Carakol","Sin Prisa","2007???2008","-"
"Carakol","Siempre Contigo","2013","-"
"Carbajal y Jotace","No existen heroes","2007","-"
"carisma constante","detras de la inocencia","2008","-"
"Carlitos Gamboa","Renaciendo Mixtape","2012","-"
"carlitos gardel el mago","my way","2010","-"
"carlitos lopez","el mas odiado","2010","-"
"carlos","no habra final feliz","2006","-"
"Carlos Alberich Nieto","Trance","2013","-"
"Carlos Alberich Nieto","Baboon Estudios Vol.1 Remixes","2011","-"
"Carlos Alberich Nieto","Baboon Estudios Vol.1,","2011","-"
"Carlos Talavera","Hasta Que Salga El Sol ","2014","-"
"Carlos Talavera","Sudor & Sangre II","2011","-"
"carlosc","culpable","2012","-"
"Carmona","por necesidad","2012","-"
"Carmona","Por necesidad","2012","-"
"Carmona","Actitud Salvaje","2010","-"
"carmona vs darmo","directo sala moe","-","-"
"carmona y dj rasko","re wild","2012","-"
"Carpe DM","maketa","2000","-"
"Carpe DM","Íntimo","2004","-"
"carpin","stay cool","2013","-"
"Cartel De Santa","Volumen Prohibido","2007",
"Cashflow","GrandCash","2014","-"
"Caso Abierto","Caso Abierto","1995","-"
"Caso Abierto","Trucos De La Mente","1994","-"
"Casoman","Mensags (Desde Dentro)","2006","-"
"casoman & la meka 55","mensajes (desde dentro)","2006","-"
"Casoman & Skl69","Arsando El Vuelo","2014","-"
"Casoman y La Meka 55","Mensajes","-","-"
"Castle","Gasface","2013","-"
"causa efecto","sound1","2011","-"
"cebo","devenires","2008","-"
"cecilio g.","robots n unicorns","2013","-"
"Ceerre & Gareta","Grey Theory","2015","-"
"cejota y hobbo","entre la espada y la pared","2012","-"
"celedonio","flow max level","2013","-"
"celedonio terrible","socio ejecutor","2013","-"
"Cer080","Antimarketing","2013","-"
"Cer080","Training Day","2012","-"
"cer2 crew","realistas","2009","-"
"cer2 crew","cr2c","2008","-"
"cerdos crew","fm","-","-"
"cero8","se volverá en tu contra","2008","-"
"Cero8","Se Volverá En Tu Contra","2008","-"
"Cerokince","No escuches, no mires ni hables","-","-"
"Cerokince","El eclipse","2004","-"
"Cerroman","Todos Hablan","2007???2008","-"
"Cerroman","kerer y poder","2002","-"
"Cerroman","Escupiendo Veneno","2009","-"
"Cerroman","One Life, Todo Por Un Sueño","2009","-"
"Cerroman","Un Poco Más","2009","-"
"Cerroman","Mi Terapia","2005","-"
"Cerroman","Distrito 69","2001","-"
"Cevlade","blanco y negro Maxi","2008","-"
"chacal clik","perros sin correa","2008","-"
"chacal clik","24 h calle","-","-"
"Chacal Clik","De Ley","2013","-"
"Chacho Brodas","exclusivos myspace","2007","-"
"Chacho Brodas","Prozak","2012","-"
"Chacho Brodas","Date Cuenta","2009","-"
"Chacho Brodas","Los Impresentables","2007","-"
"Chacho Brodas","Remixtape Pum Classics","2007","-"
"chacho brodas & dj2d2","del palo records","2007","-"
"Chacho_Brodas","Los Impresentables","2007",
"chakal","la orbe de isis","2011","-"
"Chaman","Porque No He Muerto","2007","-"
"Chaman & Black Jackets","Poética","2013","-"
"Chamillionaire","Ultimate Victory","2007","-"
"Champa","Don´t stop esta promo","-","-"
"Champa","Carlos Quiere Mascarlos","2008","-"
"Charlee","Patente De Corso","2014","-"
"Charlestan","RAPidaMENTE","2014","-"
"Charlestan","Cortocircuitos ","2012","-"
"Charlestán & Mono Shao","THX 1138","2014","-"
"Charlestán & Mono Shao","Escape De Absolom","2011","-"
"charlie","canibal destroy","-","-"
"Charlie Crack","La Puta Música (Da Beat Tape!)","2012","-"
